"#","Reference","Qty","Value","Footprint","DNP"
"1","A1","1","SD_Card_Module","kitest:SD Module",""
"2","A2","1","Arduino_Nano_v3.x","Module:Arduino_Nano",""
"3","BT1","1","Battery_Cell","kitest:battery_holder_10mm",""
"4","C1, C9, C10, C11","4","C_0.1uF","Capacitor_SMD:C_1206_3216Metric",""
"5","C2, C3, C8","3","C_10uF","Capacitor_SMD:C_1206_3216Metric",""
"6","C4","1","C_Small","Capacitor_SMD:C_1206_3216Metric",""
"7","C5, C7","2","C_0.047uF","Capacitor_SMD:C_1206_3216Metric",""
"8","C6","1","C_0.47uF","Capacitor_SMD:C_1206_3216Metric",""
"9","C12","1","CP1_Small","Capacitor_SMD:C_1206_3216Metric",""
"10","D1","1","D_Zener_Small","Diode_SMD:D_SMC",""
"11","D2","1","B320","Diode_SMD:D_SMC",""
"12","D3","1","B350","Diode_SMD:D_SMC",""
"13","D4","1","PMEG6045ETP","Diode_SMD:D_SOD-128",""
"14","J1","1","XLR3_Switched","kitest:grounded_switch",""
"15","J2","1","Conn_01x11_Female","Connector_PinSocket_2.54mm:PinSocket_1x11_P2.54mm_Horizontal",""
"16","J3","1","Conn_01x02_Female","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Horizontal",""
"17","L1","1","L","Inductor_SMD:L_1206_3216Metric",""
"18","R1, R2","2","R_1MOhm","Resistor_SMD:R_1206_3216Metric",""
"19","R3, R4","2","R_800Ohm","Resistor_SMD:R_1206_3216Metric",""
"20","R5, R6, R7, R8, R9, R10","6","R_Small_US","Resistor_SMD:R_1206_3216Metric",""
"21","U1","1","LM22676MR-5","Package_SO:TI_SO-PowerPAD-8",""
"22","U2","1","DS3231M","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm",""
"23","U3","1","Battery_Input","kitest:Battery_Input",""
"24","U4","1","4023","kitest:TDS_module",""
"25","U5","1","ADS1115IDGS","Package_SO:TSSOP-10_3x3mm_P0.5mm",""
"26","U6","1","3v3_Voltage_Regulator","smart penetrometer footprints:BD433M2FP3_CE2",""
"27","U7","1","Solar_Input","kitest:Battery_Input",""
"28","U8","1","ADS1120-PW","Package_SO:TSSOP-16_4.4x5mm_P0.65mm",""
"29","U9","1","SRAM(23K256)","smart penetrometer footprints:23K256T-E&slash_SN",""
"30","U10","1","FS8205A","smart penetrometer footprints:DUAL_MOSFET(FS8205A)",""
"31","U11","1","DW01","smart penetrometer footprints:BATTERY_PROTECTION_IC(DW01A)",""
